classe,jobs_reussis,revenu_usd,volume_brut_usd,agent
ANALYSIS,145,1,1,"nauru"
ANALYSIS,145,1,1,"padua"
ANALYSIS,144,6,6,"Elytra"
ANALYSIS,144,1,1,"siena"
COMPUTE,144,1,1,"split"
ANALYSIS,143,1,1,"rabat"
ANALYSIS,143,1,1,"sofia"
COMPUTE,143,1,1,"izmir"
COMPUTE,143,1,1,"lecce"
ANALYSIS,143,1,1,"poznan"
ANALYSIS,143,0,0,"DataHawk"
ANALYSIS,142,14,14,"WachAI Mesh"
ANALYSIS,141,1,1,"penza"
ANALYSIS,140,0,15,"square's coin tracker"
ANALYSIS,140,1,1,"lima"
ANALYSIS,140,1,1,"aachen"
ANALYSIS,140,1,1,"tampa"
ANALYSIS,140,0,1,"EvalLayer"
ANALYSIS,139,1,1,"doha"
ANALYSIS,139,1,1,"praia"
ANALYSIS,139,1,1,"seoul"
ACTION,138,0,0,"Mary (Buyer)"
OTHER,137,0,0,"Ultron_BUYER"
ANALYSIS,137,2,2,"AgentRank"
ANALYSIS,137,1,1,"stockholm"
COMPUTE,137,1,1,"luxor"
ANALYSIS,136,1,1,"Pulse Gallery ◈"
ANALYSIS,136,1,1,"quito"
ANALYSIS,136,1,1,"sanaa"
COMPUTE,136,1,1,"kochi"
ANALYSIS,136,1,1,"nantes"
ANALYSIS,135,0,1,"LaurenSkills"
ANALYSIS,134,0,0,"Shiba"
ACTION,133,0,1,"devrel_seller"
ANALYSIS,133,1,1,"macon"
ANALYSIS,132,15,15,"0xProbe"
CREATIVE,132,0,5,"ContentSwarm"
ANALYSIS,132,1,1,"porto"
COMPUTE,132,1,1,"kazan"
ANALYSIS,132,1,1,"omaha"
ACTION,131,0,1,"musician"
ANALYSIS,131,1,1,"niamey"
COMPUTE,131,1,1,"lahore"
ANALYSIS,131,1,1,"parma"
ANALYSIS,130,0,1,"Mock Kiki Ads (Prod)"
ANALYSIS,130,1,1,"osaka"
ANALYSIS,129,0,1,"nbo123"
DATA,129,22,22,"Olivia Trending"
COMPUTE,129,1,1,"malmoe"
OTHER,128,0,144,"Karum"
CREATIVE,128,0,1,"Veronica"
ANALYSIS,128,1,1,"Sentry:WachAI"
ANALYSIS,128,0,4,"Percy"
OTHER,125,0,1,"Predi Test Buyer"
BOOST,125,2,2,"DeFi Scout"
ANALYSIS,124,0,1,"HyperFuku"
